Test,LeonCorrect,LeonSatisfies
bool-always-false,\correct,y
bool-always-true,\correct,y
bool-band,\correct,y
bool-bor,\correct,y
bool-impl,\correct,y
bool-neg,\correct,y
bool-xor,\correct,y
list-append,\correct,y
list-compress,\na,y
list-concat,\incorrect,y
list-drop,\correct,y
list-even-parity,\correct,y
list-filter,\na,n
list-fold,\na,n
list-hd,\correct,y
list-inc,\correct,y
list-last,\correct,y
list-length,\correct,y
list-map,\na,n
list-nth,\na,y
list-pairwise-swap,\incorrect,y
list-rev-append,\correct,y
list-rev-fold,\correct,y
list-rev-snoc,\incorrect,y
list-rev-tailcall,\na,y
list-snoc,\correct,y
list-sort-sorted-insert,\correct,y
list-sorted-insert,\na,y
list-stutter,\correct,y
list-sum,\correct,y
list-take,\incorrect,y
list-tl,\correct,y
nat-add,\correct,y
nat-iseven,\correct,y
nat-max,\incorrect,y
nat-pred,\correct,y
tree-binsert,\na,y
tree-collect-leaves,\correct,y
tree-count-leaves,\correct,y
tree-count-nodes,\correct,y
tree-inorder,\correct,y
tree-map,\na,n
tree-nodes-at-level,\na,y
tree-postorder,\correct,y
tree-preorder,\correct,y
