Test,Correct
bool-always-false,\correct
bool-always-true,\correct
bool-band,\correct
bool-bor,\correct
bool-impl,\correct
bool-neg,\correct
bool-xor,\correct
list-append,\correct
list-compress,\correct
list-concat,\correct
list-drop,\correct
list-even-parity,\correct
list-filter,\correct
list-fold,\correct
list-hd,\correct
list-inc,\correct
list-last,\correct
list-length,\correct
list-map,\correct
list-nth,\correct
list-pairwise-swap,\correct
list-rev-append,\correct
list-rev-fold,\correct
list-rev-snoc,\incorrect
list-rev-tailcall,\na
list-snoc,\correct
list-sort-sorted-insert,\correct
list-sorted-insert,\correct
list-stutter,\correct
list-sum,\correct
list-take,\incorrect
list-tl,\correct
nat-add,\na
nat-iseven,\correct
nat-max,\na
nat-pred,\correct
tree-binsert,\na
tree-collect-leaves,\correct
tree-count-leaves,\correct
tree-count-nodes,\correct
tree-inorder,\correct
tree-map,\correct
tree-nodes-at-level,\correct
tree-postorder,\correct
tree-preorder,\correct
