Test,SynquidTime
bool-always-false,0.30
bool-always-true,0.31
bool-band,0.32
bool-bor,0.30
bool-impl,0.31
bool-neg,0.29
bool-xor,0.31
list-append,0.51
list-compress,\incorrect
list-concat,0.39
list-drop,0.58
list-even-parity,\incorrect
list-filter,\incorrect
list-fold,\incorrect
list-hd,0.29
list-inc,0.48
list-last,\incorrect
list-length,\incorrect
list-map,\incorrect
list-nth,\incorrect
list-pairwise-swap,\incorrect
list-rev-append,\incorrect
list-rev-fold,\incorrect
list-rev-snoc,\incorrect
list-rev-tailcall,\incorrect
list-snoc,0.40
list-sort-sorted-insert,\incorrect
list-sorted-insert,\incorrect
list-stutter,0.44
list-sum,0.44
list-take,0.47
list-tl,0.30
nat-add,\incorrect
nat-iseven,0.34
nat-max,0.56
nat-pred,0.31
tree-binsert,\incorrect
tree-collect-leaves,\incorrect
tree-count-leaves,9.77
tree-count-nodes,16.26
tree-inorder,\incorrect
tree-map,\incorrect
tree-nodes-at-level,\incorrect
tree-postorder,\incorrect
tree-preorder,\incorrect
