Test,SynquidCorrect
bool-always-false,\correct
bool-always-true,\correct
bool-band,\correct
bool-bor,\correct
bool-impl,\correct
bool-neg,\correct
bool-xor,\correct
list-append,\correct
list-compress,\na
list-concat,\correct
list-drop,\correct
list-even-parity,\na
list-filter,\na
list-fold,\na
list-hd,\correct
list-inc,\correct
list-last,\na
list-length,\na
list-map,\na
list-nth,\na
list-pairwise-swap,\na
list-rev-append,\na
list-rev-fold,\na
list-rev-snoc,\na
list-rev-tailcall,\na
list-snoc,\correct
list-sort-sorted-insert,\na
list-sorted-insert,\na
list-stutter,\correct
list-sum,\correct
list-take,\correct
list-tl,\correct
nat-add,\na
nat-iseven,\correct
nat-max,\correct
nat-pred,\correct
tree-binsert,\na
tree-collect-leaves,\na
tree-count-leaves,\incorrect
tree-count-nodes,\incorrect
tree-inorder,\na
tree-map,\na
tree-nodes-at-level,\na
tree-postorder,\na
tree-preorder,\na
